Id,y
2000,2
2001,1
2002,2
2003,2
2004,2
2005,1
2006,2
2007,1
2008,2
2009,2
2010,2
2011,2
2012,2
2013,2
2014,2
2015,1
2016,2
2017,2
2018,2
2019,1
2020,2
2021,2
2022,2
2023,2
2024,1
2025,2
2026,2
2027,2
2028,2
2029,1
2030,2
2031,2
2032,0
2033,0
2034,1
2035,2
2036,2
2037,1
2038,1
2039,1
2040,2
2041,2
2042,2
2043,0
2044,1
2045,1
2046,2
2047,2
2048,1
2049,2
2050,2
2051,1
2052,0
2053,2
2054,0
2055,2
2056,1
2057,2
2058,2
2059,1
2060,0
2061,0
2062,2
2063,1
2064,2
2065,2
2066,1
2067,2
2068,2
2069,1
2070,1
2071,1
2072,2
2073,2
2074,2
2075,2
2076,2
2077,2
2078,2
2079,0
2080,2
2081,2
2082,1
2083,1
2084,2
2085,0
2086,0
2087,2
2088,1
2089,2
2090,2
2091,0
2092,2
2093,2
2094,1
2095,2
2096,0
2097,2
2098,2
2099,2
2100,2
2101,2
2102,0
2103,0
2104,1
2105,1
2106,2
2107,2
2108,2
2109,0
2110,2
2111,0
2112,2
2113,2
2114,2
2115,0
2116,2
2117,1
2118,0
2119,2
2120,1
2121,1
2122,2
2123,1
2124,2
2125,2
2126,2
2127,2
2128,0
2129,0
2130,1
2131,1
2132,2
2133,2
2134,2
2135,2
2136,2
2137,0
2138,1
2139,2
2140,0
2141,2
2142,2
2143,0
2144,2
2145,2
2146,2
2147,2
2148,1
2149,0
2150,1
2151,1
2152,0
2153,0
2154,2
2155,2
2156,1
2157,2
2158,2
2159,2
2160,1
2161,2
2162,1
2163,2
2164,2
2165,0
2166,0
2167,2
2168,2
2169,2
2170,2
2171,2
2172,1
2173,0
2174,0
2175,2
2176,0
2177,2
2178,2
2179,2
2180,1
2181,2
2182,0
2183,1
2184,1
2185,1
2186,1
2187,2
2188,1
2189,2
2190,0
2191,1
2192,2
2193,1
2194,2
2195,2
2196,1
2197,1
2198,2
2199,2
2200,1
2201,1
2202,1
2203,2
2204,2
2205,1
2206,2
2207,2
2208,2
2209,0
2210,0
2211,1
2212,2
2213,2
2214,2
2215,2
2216,2
2217,2
2218,2
2219,2
2220,2
2221,2
2222,2
2223,0
2224,2
2225,0
2226,2
2227,2
2228,1
2229,2
2230,2
2231,2
2232,2
2233,2
2234,2
2235,0
2236,0
2237,1
2238,2
2239,0
2240,2
2241,0
2242,2
2243,2
2244,2
2245,2
2246,2
2247,2
2248,2
2249,1
2250,0
2251,2
2252,2
2253,2
2254,2
2255,0
2256,1
2257,0
2258,1
2259,2
2260,2
2261,0
2262,1
2263,2
2264,2
2265,1
2266,1
2267,1
2268,0
2269,2
2270,2
2271,0
2272,2
2273,2
